,Identifying num,url,claimDate,claimYear,claimant,claimant_canonical_name,Local/State/National,Current Role,Aspiring Role,State,City,languageCode,publisher.name,publisher.site,text,title,reviewDate,claimant_party,textualRating,ratingsimp,T/F RQ1,is_politician_strict,Fear,Self/Personal Record,Opponent/Opponent's Record,Legislation,National and State Macroeconomic Issues,Economic Well-Being and Domestic Commerce,Labor and Employment,Foreign Trade,Taxes,"Civil Rights, Minority Issues, and Civil Liberties",Immigration and Refugee Issues,LGBTQ,Race,Religion,Women,Health (non-care),Social Welfare,Education,Abortion,Healthcare,Government Operations,Defense/Military,International_affairs and Foreign Aid,Voting/Elections,Agriculture,Environment,Energy,Transportation,Community Development and Housing,Technology Science Space,Media and Communications,Law and Crime and Policing,Terrorism,Guns,History,Record/Candidate Biography/ Campaigns and Personal Behavior
,455,https://www.politifact.com/factchecks/2017/mar/30/jacqueline-collins/fact-check-has-gov-rauner-consistently-pushed-cut-/,1988-12-20,1988,Jacqueline Collins,Jacqueline Y. Collins,,,,,,en,PolitiFact,politifact.com,Governor Rauner has called every year for eliminating funding for afterschool programs for at-risk youth; homeless prevention services and programs that help autistic children.,Gov. Rauner has proposed funding cuts for autism,2017-03-30 19:59:27,Democratic,Mostly True,5 Mostly True,True)ish,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,465,http://www.politifact.com/factchecks/2017/apr/21/howard-dean/howard-deans-wrong-tweet-constitution-doesnt-prote/,1992-04-20,1992,Howard Dean,Howard Dean,,,,,,en,PolitiFact,politifact.com,Hate speech is not protected by the first amendment.',Howard Dean's wrong tweet that the Constitution doesn't protect 'hate speech',2017-04-21 21:27:07,Democratic,FALSE,2 False,False(ish),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,538,http://www.politifact.com/factchecks/2008/mar/25/hillary-clinton/video-shows-tarmac-welcome-no-snipers/,2008-03-17,2008,Hillary Clinton,Hillary Clinton,,,,,,en,PolitiFact,politifact.com,I remember landing under sniper fire.',Video shows tarmac welcome; no snipers,2016-06-02 15:32:19,Democratic,Pants on Fire,1 Pants On Fire,False(ish),TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
,1857,https://www.politifact.com/factchecks/2009/jan/20/nancy-pelosi/legend-slaves-building-capitol-correct/,2008-12-28,2008,Nancy Pelosi,Nancy Pelosi,,,,,,en,PolitiFact,politifact.com,The Capitol was built by slaves.',The legend of slaves building Capitol is correct,2016-07-26 2:26:06,Democratic,TRUE,6 True,True)ish,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2022,http://www.politifact.com/factchecks/2009/feb/04/mike-pence/stimulus-has-money-help-fish-roaders/,2009-02-03,2009,Mike Pence,Mike Pence,,,,,,en,PolitiFact,politifact.com,The stimulus bill contains '$20 million for the removal of small to medium-sized fish passage barriers' and '$25 million to rehabilitate off-roading trails for ATVs.',Stimulus has money to help fish; off-roaders,2016-07-15 13:50:29,Republican,TRUE,6 True,True)ish,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2023,http://www.politifact.com/factchecks/2009/feb/13/mike-pence/no-money-stimulus-san-francisco-mice/,2009-02-12,2009,Mike Pence,Mike Pence,,,,,,en,PolitiFact,politifact.com,The stimulus has '$30 million in there to protect mice in San Francisco.',No money in the stimulus for San Francisco mice,2016-07-15 14:49:01,Republican,FALSE,2 False,False(ish),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,1804,http://www.politifact.com/factchecks/2009/mar/20/mike-pence/tens-billions-aig-bailout-went-foreign-comanies/,2009-03-17,2009,Mike Pence,Mike Pence,,,,,,en,PolitiFact,politifact.com,Tens of billions of dollars (from taxpayer-funded bailouts) ... flowed straight through AIG into the coffers of foreign corporations and foreign banks.',Tens of billions in AIG bailout went to foreign companies,2016-07-15 14:47:56,Republican,TRUE,6 True,True)ish,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1888,http://www.politifact.com/factchecks/2009/may/19/mike-pence/120-million-deprived-health-care-not-correct/,2009-05-12,2009,Mike Pence,Mike Pence,,,,,,en,PolitiFact,politifact.com,The Democrats propose 'a government-controlled health care plan that will deprive roughly 120 million Americans of their current health care coverage.',120 million 'deprived' of health care is not correct,2016-07-15 14:45:58,Republican,FALSE,2 False,False(ish),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,714,http://www.politifact.com/factchecks/2009/jun/08/newt-gingrich/stimulus-bill-wont-change-status-sunday-school/,2009-05-30,2009,Newt Gingrich,Newt Gingrich,,,,,,en,PolitiFact,politifact.com,Inside the stimulus package 'is anti-Christian legislation that will stop churches from using public schools for meeting on Sundays; as well as Boy Scouts and student Bible study groups.',Stimulus bill won't change status of Sunday school,2016-07-15 16:40:58,Republican,Pants on Fire,1 Pants On Fire,False(ish),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,297,http://www.politifact.com/factchecks/2009/jun/11/mike-pence/pence-claims-obama-said-energy-costs-will-skyrocke/,2009-06-10,2009,Mike Pence,Mike Pence,,,,,,en,PolitiFact,politifact.com,Contends that President Obama 'literally said (if) his cap-and-trade proposals were to pass; that utility rates; his words now; would; 'necessarily skyrocket.'',Pence claims that Obama said energy costs will skyrocket with a cap-and-trade plan,2016-07-15 14:40:34,Republican,TRUE,6 True,True)ish,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,163,http://www.politifact.com/factchecks/2009/nov/06/mike-pence/us-rep-mike-pence-says-cbo-confirms-gop-health-pla/,2009-11-05,2009,Mike Pence,Mike Pence,,,,,,en,PolitiFact,politifact.com,As a result of the House Republican bill; the nonpartisan Congressional Budget Office now confirms that families will see their health care premiums reduced by up to 10 percent.',US Rep. Mike Pence says CBO confirms GOP health plan reduces insurance premiums up to 10 percent,2016-07-15 14:34:59,Republican,Half True,4 Half True,True)ish,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2223,http://www.politifact.com/factchecks/2009/dec/01/mike-pence/rep-mike-pence-says-democratic-health-plan-would-/,2009-11-30,2009,Mike Pence,Mike Pence,,,,,,en,PolitiFact,politifact.com,Under the Democratic health plan; families 'will be forced to spend an additional $2;100 a year to keep their current health care.',Rep. Mike Pence says Democratic health plan would drive up family premiums,2016-07-15 14:31:43,Republican,Mostly False,3 Mostly False,False(ish),TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,2174,http://www.politifact.com/factchecks/2009/dec/08/mike-pence/pence-says-democrats-plan-spend-tarp-money-economi/,2009-12-08,2009,Mike Pence,Mike Pence,,,,,,en,PolitiFact,politifact.com,To use money from the TARP fund in the manner that is being discussed by the White House and congressional Democrats would be a violation of the law.',Pence says Democrats' plan to spend TARP money on economic stimulus is unlawful,2016-07-15 14:27:20,Republican,Half True,4 Half True,True)ish,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,85,http://www.politifact.com/factchecks/2010/jan/12/newt-gingrich/gingrich-claims-interpol-will-investigate-american/,2010-01-04,2010,Newt Gingrich,Newt Gingrich,,,,,,en,PolitiFact,politifact.com,A recent Obama executive order could 'lead to a number of investigations by Interpol in the United States; potentially aimed at American officials.',Gingrich claims Obama's order will let Interpol investigate American officials,2016-07-15 17:00:45,Republican,Pants on Fire,1 Pants On Fire,False(ish),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
,320,http://www.politifact.com/factchecks/2010/mar/28/marco-rubio/rubio-says-he-didnt-vote-tax-increases-member-west/,2010-02-28,2010,Marco Rubio,Marco Rubio,,,,,,en,PolitiFact,politifact.com,Did not vote for tax increases as a member of the West Miami City Commission.,Rubio says he didn't vote for tax increases as member of West Miami City Commission,2016-06-23 18:55:39,Republican,FALSE,2 False,False(ish),TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
